Op.,WoO,Hess,Biamonti,Title,Key,Date,Scoring,Genre,Comments
18, —, —, 225/1, String Quartets (6):, NaN, 1798-1800, 2vn va vc, Chamber, NaN
18/1, —, —, 225/1, String Quartet No.1, F major, 1798-1800, 2vn va vc, Chamber, NaN
18/2, —, —, 225/2, String Quartet No.2, G major, 1798-1800, 2vn va vc, Chamber, NaN
18/3, —, —, 225/3, String Quartet No.3, D major, 1798-1800, 2vn va vc, Chamber, NaN
18/4, —, —, 225/4, String Quartet No.4, C minor, 1798-1800, 2vn va vc, Chamber, NaN
18/5, —, —, 225/5, String Quartet No.5, A major, 1798-1800, 2vn va vc, Chamber, NaN
18/6, —, —, 225/6, String Quartet No.6, B flat major, 1798-1800, 2vn va vc, Chamber, NaN
19, —, —, 166, Piano Concerto No.2, B flat major, 1788-1801, pf orch, Orchestral, NaN
20, —, —, 204, Septet, E flat major, 1799, cl bn hn vn va vc db, Chamber, NaN
21, —, —, 203, Symphony No.1, C major, 1799-1800, orch, Orchestral, NaN
22, —, —, 208, Piano Sonata No.11, B flat major, 1800, pf, Keyboard, NaN
23, —, —, 293, Violin Sonata No.4, A minor, 1800-01, vn pf, Chamber, NaN
24, —, —, 294, Violin Sonata No.5, F major, 1800-01, vn pf, Chamber, NaN
25, —, —, 114, Serenade, D major, 1801, For flute  violin  viola, Chamber, arr. for fl pf as Op.41
26, —, —, 296, Piano Sonata No.12 ('Funeral March'), A flat major, 1800-01, pf, Keyboard, movt. III arr. for orch as WoO 96/4
27, —, —, 297/1, Piano Sonatas (2):, NaN, 1800-01, pf, Keyboard, NaN
27/1, —, —, 297/1, Piano Sonata No.13 ('Quasi una fantasia'), E flat major, 1800-01, pf, Keyboard, NaN
27/2, —, —, 297/2, Piano Sonata No.14 ('Moonlight'), C sharp minor, 1801, pf, Keyboard, NaN
28, —, —, 302, Piano Sonata No.15 ('Pastoral'), D major, 1801, pf, Keyboard, NaN
29, —, —, 298, String Quintet in C major ('Storm'), C major, 1801, 2vn 2va vc, Chamber, NaN
30, —, —, 340, Violin Sonatas (3):, NaN, 1801-02, vn pf, Chamber, NaN
30/1, —, —, 340/1, Violin Sonata No.6, A major, 1801-02, vn pf, Chamber, NaN
30/2, —, —, 340/2, Violin Sonata No.7 ('Eroica'), C minor, 1801-02, vn pf, Chamber, NaN
30/3, —, —, 340/3, Violin Sonata No.8, G major, 1801-02, vn pf, Chamber, NaN
31, —, —, 339, Piano Sonatas (3):, NaN, 1802, pf, Keyboard, NaN
31/1, —, —, 339/1, Piano Sonata No.16, G major, 1802, pf, Keyboard, NaN
31/2, —, —, 339/3, Piano Sonata No.17 ('Tempest'), D minor, 1802, pf, Keyboard, NaN
31/3, —, —, 339/2, Piano Sonata No.18 ('Hunt'), E flat major, 1802, pf, Keyboard, NaN
32, —, —, 421, An die Hoffnung ("Die du so gern in heilgen Nächten feierst"), NaN, 1804-05, v pf, Vocal, 1st setting; see also Op.94
33, —, —, 334, Bagatelles (7), NaN, 1801-02, pf, Keyboard, NaN
34, —, —, 327, Variations (6), F major, 1802, pf, Keyboard, NaN
35, —, —, 328, Variations and Fugue ('Eroica Variations'), E flat major, 1802, pf, Keyboard, NaN
36, —, —, 326, Symphony No.2, D major, 1801-02, orch, Orchestral, also arr. for vn vc pf
36, —, —, 425, Symphony No.2, D major, 1805, vn vc pf, Chamber, arr. of version for orch
37, —, —, 337, Piano Concerto No.3, C minor, 1800-03, pf orch, Orchestral, NaN
38, —, —, 376, Trio, E flat major, 1802-03, cl/vn vc pf, Chamber, arr. of Op. 20
39, —, —, 375, Preludes (2) ('par tous les 12 tons majeurs'), C major, 1789, pf/org, Keyboard, NaN
40, —, —, 329, Romance, G major, 1800-02, vn orch, Orchestral, NaN
41, —, Anh.12, 371, Serenade, D major, 1803, fl pf, Chamber, spurious; arr. of Op.25 by Franz Xaver Kleinheinz
42, —, Anh.13, 372, Notturno, D major, 1803-04, va pf, Chamber, spurious; arr. of Op.8 by Franz Xaver Kleinheinz
43, —, —, 288, Die Geschöpfe des Prometheus (The Creatures of Prometheus), NaN, 1800-01, orch, Stage, NaN
44, —, —, 263, Variations (14), E flat major, 1792, vn va pf, Chamber, NaN
45, —, —, 377, Marches (3), NaN, 1803, pf4h, Keyboard, NaN
46, —, —, 111, Adelaide ("Einsam wandelt dein Freund"), B flat major, 1794-95, v pf, Vocal, NaN
47, —, —, 366, Violin Sonata No.9 ("Kreutzer"), A major, 1802-03, vn pf, Chamber, NaN
48, —, —, 367, Lieder (6), NaN, 1801-02, v pf, Vocal, NaN
48/1, —, —, 367/1, Bitten ("Gott  deine Güte reicht so weit"), E major, 1801-02, v pf, Vocal, NaN
48/2, —, —, 367/2, Die Liebe des Nächsten ("So jemand spricht: Ich liebe Gott!"), E flat major, 1801-02, v pf, Vocal, NaN
48/3, —, —, 367/3, Vom Tode ("Meine Lebenszeit verstreicht"), F sharp minor, 1801-02, v pf, Vocal, NaN
48/4, —, —, 367/4, Die Ehre Gottes aus der Natur ("Die Himmel rühmen des Ewigen Ehre"), C major, 1801-02, v pf, Vocal, NaN
48/5, —, —, 367/5, Gottes Macht und Vorsehung ("Gott ist mein Leid!"), C major, 1801-02, v pf, Vocal, NaN
48/6, —, —, 367/6, Bußlied ("An dir allein  an dir hab ich gendigt"), A minor, 1801-02, v pf, Vocal, NaN
49, —, —, —, Piano Sonatas (2):, NaN, 1797, pf, Keyboard, NaN
49/1, —, —, 170, Piano Sonata No.19, G minor, 1797, pf, Keyboard, NaN
49/2, —, —, 120, Piano Sonata No.20, G major, 1795-96, pf, Keyboard, NaN
50, —, —, 330, Romance, F major, 1798, vn orch, Orchestral, NaN
51, —, —, —, Rondos (2), NaN, 1796-97, pf, Keyboard, NaN
52, —, —, 34, Lieder (8):, NaN, 1785-93, v pf, Vocal, NaN
52/1, —, —, 34/1, Urians Reise um die Welt ("Wenn jemand eine Reise tut"), A minor, 1785-93, v pf, Vocal, Words by Matthias Claudius
52/2, —, —, 34/2, Feuerfarb ("Ich weiß eine Farbe"), G major, 1785-93, v pf, Vocal, Words by Sophie Mereau
52/3, —, —, 34/3, Das Liedchen von der Ruhe ("Im Arm der Liebe ruht sich's wohl"), F major, 1785-93, v pf, Vocal, Words by Hermann Wilhelm Franz Ueltzen
52/4, —, —, 34/4, Maigesang (Mailied) ("Wie herrlich leuchtet mir dir Natur"), E flat major, 1785-93, v pf, Vocal, Words by Johann Wolfgang von Goethe
52/5, —, —, 34/5, Mollys Abschied ("Lebe wohl  du Mann"), G major, 1785-93, v pf, Vocal, Words by Gottfried August Bürger
52/6, —, —, 34/6, Die Liebe ("Ohne Liebe lebe wer da kann"), F major, 1785-93, v pf, Vocal, Words by Gotthold Ephraim Lessing
52/7, —, —, 34/7, Marmotte ("Ich komme schon durch manches Land"), A major, 1785-93, v pf, Vocal, Words by Johann Wolfgang von Goethe
52/8, —, —, 34/8, Das Blümchen Wunderhold ("Es blüht ein Blümchen irgendwo"), G major, 1785-93, v pf, Vocal, Words by Gottfried August Bürger
53, —, —, 411, Piano Sonata No.21 ("Waldstein"), C major, 1803-04, pf, Keyboard, NaN
54, —, —, 412, Piano Sonata No.22, F major, 1804, pf, Keyboard, NaN
55, —, —, 406, Symphony No.3 ('Eroica'), E flat major, 1803, orch, Orchestral, NaN
56, —, —, 410, Triple Concerto, C major, 1804-05, vn vc pf orch, Orchestral, NaN
57, —, —, 420, Piano Sonata No.23 ('Apassionata'), F minor, 1804-05, pf, Keyboard, NaN
58, —, —, 431, Piano Concerto No.4, G major, 1804-07  rev.1809, pf orch, Orchestral, arr. for 2vn va vc db pf as Op.58a
58a, —, —, 431, Piano Concerto No.4, G major, 1804-07, 2vn va vc db pf, Chamber, arr. of Op.58
59, —, —, 436, String Quartets (3) ('Razumovsky Quartets'):, NaN, 1806, 2vn va vc, Chamber, NaN
59/1, —, —, 436/1, String Quartet No.7, F major, 1806, 2vn va vc, Chamber, NaN
59/2, —, —, 436/2, String Quartet No.8, E minor, 1806, 2vn va vc, Chamber, NaN
59/3, —, —, 436/3, String Quartet No.9, C major, 1806, 2vn va vc, Chamber, NaN
60, —, —, 429, Symphony No.4, B flat major, 1806, orch, Orchestral, NaN
61, —, —, 432, Violin Concerto, D major, 1806, vn orch, Orchestral, arr for pf orch as Op.61a
61a, —, —, 441, Piano Concerto, D major, 1807, pf orch, Orchestral, arr. of Op.61
62, —, —, 438, Coriolan, C minor, 1807, orch, Orchestral, NaN
63, —, Anh.14, II/65, Piano Trio, E flat major, —, vn va vc, Chamber, arr. of Op.4; Beethoven's authorship doubtful
64, —, Anh.15, II/60, Cello Sonata ('Grand Sonata'), E flat major, 1807, vc pf, Chamber, spurious; arr.of Op.3 by unknown author
65, —, —, 116, Ah! Perfido, NaN, 1796, sop orch, Vocal, NaN
66, —, —, 160, Variations on 'Ein Mädchen oder Weibchen' (12), F major, 1796, vc pf, Chamber, based on an aria from Die Zauberflöte  K.620  by Wolfgang Amadeus Mozart
67, —, —, 443, Symphony No.5, C minor, 1804-08, orch, Orchestral, NaN
68, —, —, 453, Symphony No.6, F major, 1807-08, orch, Orchestral, NaN
69, —, —, 444, Cello Sonata No.3, A major, 1807-08, vc pf, Chamber, NaN
70, —, —, 455, Piano Trios (2):, NaN, 1808, vn vc pf, Chamber, NaN
70/1, —, —, 455/1, Piano Trio ('Ghost'), D major, 1808, vn vc pf, Chamber, NaN
70/2, —, —, 455/2, Piano Trio, E flat major, 1808, vn vc pf, Chamber, NaN
71, —, —, 118, Sextet, E flat major, 1792-96, 2cl 2bn 2hn, Chamber, NaN
72, —, 109, 423, Fidelio (Leonore  oder Der Triumph der ehelichen Liebe)  opera in 3 acts, NaN, 1804-05, vv ch orch, Stage, 1st version; includes Op. 72a
72, —, 110, 427, Fidelio (Leonore  oder Der Triumph der ehelichen Liebe)  opera in 2 acts, NaN, 1805-06, vv ch orch, Stage, 2nd version; includes Op. 72b (and WoO 2/2?)
72, —, —, 570, Fidelio  opera in 2 acts, NaN, 1814, vv ch orch, Stage, 3rd version
72a, —, —, 423, Leonora Overture No.2, C major, 1804-05, orch, Orchestral, 1st version of Opp. 72b   138 (included in 1st version of Op. 72)
72b, —, —, 427, Leonora Overture No.3, C major, 1806, orch, Orchestral, 2nd version of Opp. 72a  138 (included in 2nd version of Op. 72)
73, —, —, 499, Piano Concerto No.5 ('Emperor'), E flat major, 1808-09, pf orch, Orchestral, NaN
74, —, —, 485, String Quartet No.10 ('Harp'), E flat major, 1809, 2vn va vc, Chamber, NaN
75, —, —, 502, Gesänge (6):, NaN, 1809, v pf, Vocal, NaN
75/1, —, —, 502/1, Mignon ("Kennst du das Land"), NaN, 1809, v pf, Vocal, NaN
75/2, —, —, 502/2, Neue Liebe  neues Leben ("Herz  mein Herz  was soll das geben?"), NaN, 1809, v pf, Vocal, 2nd setting of WoO 27
75/3, —, —, 502/3, Aus Goethes Faust ("Es war einmal ein König"), NaN, 1809, v pf, Vocal, NaN
75/4, —, —, 502/4, Gretels Warnung ("Mit Liebesblick und Spiel"), NaN, 1809, v pf, Vocal, NaN
75/5, —, —, 502/5, An den fernen Geliebten ("Einst wohnten süsse Ruh'"), NaN, 1809, v pf, Vocal, NaN
75/6, —, —, 502/6, Der Zufriedene ("Zwar schuf das Glück hienieden"), NaN, 1809, v pf, Vocal, NaN
76, —, —, 494, Variations (6), D major, 1809, pf, Keyboard, NaN
77, —, —, 492, Fantasia, G minor, 1809, pf, Keyboard, NaN
78, —, —, 493, Piano Sonata No.24 ('A Thérèse'), F sharp major, 1809, pf, Keyboard, NaN
79, —, —, 495, Piano Sonata No.25 ('Cuckoo'), G major, 1809, pf, Keyboard, NaN
80, —, —, 486, Fantasia in C minor ('Choral Fantasia'), C minor, 1808-09, ch pf orch, Vocal, NaN
81a, —, —, 514, Piano Sonata No.26 ('Les adieux'), E flat major, 1809-10, pf, Keyboard, NaN
81b, —, —, 72, Sextet in E-flat major, E flat major, 1795, 2hn 2vn va vc, Chamber, NaN
82, —, —, 513, Arietten und ein Duett (4):, NaN, 1809-10, v/2vv pf, Vocal, NaN
82/1, —, —, 513/1, Hoffnung ("Dimmi  ben mio  che m'ami"), NaN, 1809-10, v pf, Vocal, NaN
82/2, —, —, 513/2, Liebes-Klage ("T'intendo  si  mio cor"), NaN, 1809-10, v pf, Vocal, NaN
82/3, —, —, 513/3, Che fa il mio bene? ("L'amante impatiente"), NaN, 1809-10, v pf, Vocal, NaN
82/4, —, —, 513/4, Che fa il mio bene? ("L'amante impatiente"), NaN, 1809-10, v pf, Vocal, NaN
82/5, —, —, 513/5, Lebensgenuß ("Odi l'aura che dolce sospira"), NaN, 1809-10, 2vvv pf, Vocal, NaN
83, —, —, 531, Gesänge (3), NaN, 1810, v pf, Vocal, NaN
83/1, —, —, 531, Wonne der Wehmut ("Trocknet nicht  Tränen der ewigen Liebe!"), NaN, 1810, v pf, Vocal, NaN
83/2, —, —, 531, Sensucht ("Was zieht mir das Herz so?"), NaN, 1810, v pf, Vocal, NaN
83/3, —, —, 531, Mit einem gemalten Band ("Kleine Blumen  kleine Blätter streuen wir mit leichter Hand"), NaN, 1810, v pf, Vocal, NaN
84, —, —, 518, Egmont, NaN, 1809-10, vv orch, Stage, NaN
85, —, —, 363, Christus am Ölberge ('Christ on the Mount of Olives'), NaN, 1803-04, 3vv ch orch, Vocal, NaN
86, —, —, 439, Mass, C major, 1807, 4vvch orch, Vocal, NaN
87, —, —, 63, Trio, C major, 1794-95, 2ob eh, Chamber, NaN
88, —, —, 370, Das Glück der Freundschaft ("Der lebt ein Leben wonniglich"), NaN, 1803, v pf, Vocal, NaN
89, —, —, 588, Polonaise in C major, C major, 1814, pf, Keyboard, NaN
90, —, —, 578, Piano Sonata No.27, E minor, 1814, pf, Keyboard, NaN
91, —, —, 560, Wellingtons Sieg (Wellington's Victory or 'Battle Symphony'), NaN, 1813, orch, Orchestral, NaN
92, —, —, 544, Symphony No.7, A major, 1811-12, orch, Orchestral, NaN
93, —, —, 659, Symphony No.8, F major, 1812, orch, Orchestral, NaN
94, —, —, 611, An die Hoffnung ("Ob ein Gott sei?"), B flat minor, 1813-15, v pf, Vocal, 2nd setting; see Op.32
95, —, —, 524, String Quartet No.11 ("Serioso"), F minor, 1810-11, 2vn va vc, Chamber, NaN
96, —, —, 550, Violin Sonata No.10 ("Cock-crow"), G major, 1812, vn pf, Chamber, NaN
97, —, —, 536, Piano Trio("Archduke"), B flat major, 1810-15, vn va vc, Chamber, NaN
98, —, —, 652, An die ferne Geliebte:, NaN, 1816, v pf, Vocal, NaN
98/1, —, —, 652, Auf dem Hügel sitz' ich  spähend, NaN, 1816, v pf, Vocal, NaN
98/2, —, —, 652, Wo die Bergen so blau, NaN, 1816, v pf, Vocal, NaN
98/3, —, —, 652, Leichte Segler in den Höhen, NaN, 1816, v pf, Vocal, NaN
98/4, —, —, 652, Diese Wolken in den Höhen, NaN, 1816, v pf, Vocal, NaN
98/5, —, —, 652, Es kehret der Maien, NaN, 1816, v pf, Vocal, NaN
98/6, —, —, 652, Nimm sie hin denn  diese Lieder, NaN, 1816, v pf, Vocal, NaN
99, —, —, 655, Der Mann von Wort ("Du sagtest  Freund"), G major, 1816, v pf, Vocal, NaN
100, —, —, 596, Merkenstein, F major, 1815, 2vvv pf, Vocal, 2nd setting of WoO 144
101, —, —, 656, Piano Sonata No.28, A major, 1816, pf, Keyboard, NaN
102, —, —, 599, Cello Sonatas (2):, NaN, 1815, vc pf, Chamber, NaN
102/1, —, —, 599/1, Cello Sonata No.4, C major, 1815, vc pf, Chamber, NaN
102/2, —, —, 599/2, Cello Sonata No.5, D major, 1815, vc pf, Chamber, NaN
103, —, —, 41, Wind Octet, E flat major, 1792-93, 2ob 2cl 2bn 2hn, Chamber, revised for string quintet as Op.4
104, —, —, 675, String Quintet, C minor, 1817, 2vn 2va vc, Quintets, arrangement of Op.1/3
105, —, —, 693, National Airs with Variations (6), NaN, 1818-19, fl/vn pf, Chamber, NaN
105/1, —, —, 693/1, Air écossais ("The Cottage Maid"), G major, 1818, fl/vn pf, Chamber, NaN
105/2, —, —, 693/2, Air écossais, C minor, 1819, fl/vn pf, Chamber, NaN
105/3, —, —, 693/3, Air autrichien ("A Schsserl und a Reindel"), C major, 1818, fl/vn pf, Chamber, NaN
105/4, —, —, 693/4, Air écossais ("The Last Rose of Summer"), E flat major, 1818, fl/vn pf, Chamber, NaN
105/5, —, —, 693/5, Air écossais ("Chiling O'Guiry"), E flat major, 1818, fl/vn pf, Chamber, NaN
105/6, —, —, 693/6, Air écossais ("Paddy Whack"), D major, 1818, fl/vn pf, Chamber, NaN
106, —, —, 708, Piano Sonata No.29 ("Hammerklavier"), B flat major, 1816-18, pf, Keyboard, NaN
107, —, —, 694, National Airs with Variations (10):, NaN, 1818-19, fl/vn pf, Chamber, NaN
107/1, —, —, 694/1, Air tirolien ("I bin a Tiroler Bua"), NaN, 1819, fl/vn pf, Chamber, see also WoO 158/5
107/2, —, —, 694/2, Air écossais ("Bonnie Laddie  Highland Laddie"), NaN, 1818, fl/vn pf, Chamber, NaN
107/3, —, —, 694/3, Air de la petite Russie, NaN, 1819, fl/vn pf, Chamber, NaN
107/4, —, —, 694/4, Air écossais ("St. Patrick's Day"), NaN, 1819, fl/vn pf, Chamber, see also WoO 154/4
107/5, —, —, 694/5, Air tirolien ("A Madel  ja a Madel"), NaN, 1818, fl/vn pf, Chamber, see also WoO 158/6
107/6, —, —, 694/6, Air écossais ("Merch Megan"), NaN, 1818, fl/vn pf, Chamber, see also WoO 155/11
107/7, —, —, 694/7, Air russe ("Schöne Minka"), NaN, 1818, fl/vn pf, Chamber, see also WoO 158/16
107/8, —, —, 694/8, Air écossais ("O  Mary at thy Window Be"), NaN, 1818, fl/vn pf, Chamber, NaN
107/9, —, —, 694/9, Air écossais ("Oh  Thou art the Lad of my Heart"), NaN, 1818, fl/vn pf, Chamber, NaN
107/10, —, —, 694/10, Air écossais ("The Highland Watch"), NaN, 1818, fl/vn pf, Chamber, NaN
108, —, —, 660, Scottish Songs (25):, NaN, 1815-18, v vn vc pf, Vocal, NaN
108/1, —, —, 660/1, Music  Love and Wine ("O let me music hear  night and day!"), NaN, 1817, v vn vc pf, Vocal, NaN
108/2, —, —, 660/2, Sunset ("The sun upon the Weirdlaw Hill"), NaN, 1818, v vn vc pf, Vocal, NaN
108/3, —, —, 660/3, O Sweet were the Hours, NaN, 1817, v vn vc pf, Vocal, NaN
108/4, —, —, 660/4, The Maid of Isla ("O maid of Isla from yon cliff"), NaN, 1817, v vn vc pf, Vocal, NaN
108/5, —, —, 660/5, The Sweetest Lad was Jamie, NaN, 1815, v vn vc pf, Vocal, NaN
108/6, —, —, 660/6, Dim  Dim is my Eye, NaN, 1815, v vn vc pf, Vocal, NaN
108/7, —, —, 660/7, Bonnie Laddie  Highland Laddie ("Where got ye that siller moon"), NaN, 1815, v vn vc pf, Vocal, NaN
108/8, —, —, 660/8, The Lovely Lass of Inverness, NaN, 1816, v vn vc pf, Vocal, NaN
108/9, —, —, 660/9, Behold my Love how Green the Groves, NaN, 1817, v vn vc pf, Vocal, NaN
108/10, —, —, 660/10, Sympathy ("Why  Julia  say  that pensive mien?"), NaN, 1815, v vn vc pf, Vocal, NaN
108/11, —, —, 660/11, O! Thou Art the Lad of my Heart, NaN, 1815, v vn vc pf, Vocal, NaN
108/12, —, —, 660/12, O  Had My Fate Been Join'd With Thine, NaN, 1816, v vn vc pf, Vocal, NaN
108/13, —, —, 660/13, Come Fill  Fill  my Good fellow!, NaN, 1817, v vn vc pf, Vocal, NaN
108/14, —, —, 660/14, O  How Can I Be Blithe and Glad, NaN, 1816, v vn vc pf, Vocal, NaN
108/15, —, —, 660/15, O Cruel Was My Father, NaN, 1816, v vn vc pf, Vocal, NaN
108/16, —, —, 660/16, Could This Ill World Have Been Contriv'd, NaN, 1816, v vn vc pf, Vocal, NaN
108/17, —, —, 660/17, O Mary  at Thy Window Be, NaN, 1817, v vn vc pf, Vocal, NaN
108/18, —, —, 660/18, Enchantress  Farewell, NaN, 1818, v vn vc pf, Vocal, NaN
108/19, —, —, 660/19, O Swiftly Glides the Bonny Boat, NaN, 1815, v vn vc pf, Vocal, NaN
108/20, —, —, 660/20, Faithfu' Johnie (When will you come again), NaN, 1813, v vn vc pf, Vocal, NaN
108/21, —, —, 660/21, Jeanie's Distress ("By William late offended"), NaN, 1817, v vn vc pf, Vocal, NaN
108/22, —, —, 660/22, The Highland Watch ("Old Scotia  wake thy mountain strain"), NaN, 1817, v vn vc pf, Vocal, NaN
108/23, —, —, 660/23, The Shepherd's Song ("The gowan glitters on the sward"), NaN, 1818, v vn vc pf, Vocal, NaN
108/24, —, —, 660/24, Again  my Lyre, NaN, 1815, v vn vc pf, Vocal, NaN
108/25, —, —, 660/25, Sally in Our Alley ("Of all the girls that are so smart"), NaN, 1817, v vn vc pf, Vocal, NaN
109, —, —, 729, Piano Sonata No.30, E major, 1820, pf, Keyboard, NaN
110, —, —, 739, Piano Sonata No.31, A flat major, 1821-22, pf, Keyboard, NaN
111, —, —, 741, Piano Sonata No.32, C minor, 1821-22, pf, Keyboard, NaN
112, —, —, 609, Meeresstille und glückliche Fahrt(Calm Sea & Prosperous Voyage), D major, 1814-15, ch orch, Orchestral, NaN
113, —, 118, 539, Die Ruinen von Athen (The Ruins of Athens)  music to Kotzebue's drama, NaN, 1811, vv ch orch, Stage, 1st version of Op. 114
114, —, 118, 742, Die Ruinen von Athen (The Ruins of Athens)  music to Kotzebue's drama, NaN, 1822, vv ch orch, Stage, 2nd version of Op. 113; includes Op. 124  WoO 98
115, —, —, 597, Overture  'Zur Namensfeier' (Name-Day), C major, 1814-15, orch, Orchestral, NaN
116, —, —, 567, Tremate  empi tremate, B flat major, 1802-14, 3vv orch, Vocal, NaN
117, —, —, 538, König Stephan (King Stephen)  music to Kotzebue's play, E flat major, 1811, vv ch orch, Stage, NaN
118, —, —, 576, Elegischer Gesang ("Sanft wie du lebtest"), NaN, 1814, 4vv 2vn va vc, Vocal, NaN
119, —, —, 745, Bagatelles (11), NaN, 1820-22, pf, Keyboard, NaN
120, —, —, 774, Veränderungen über einen Walzer ('Diabelli Variations'), C major, 1819-23, pf, Keyboard, NaN
121a, —, —, 654, Variations on 'Ich bin der Schneider Kakadu' (10), G major, 1803-16, vn va pf, Chamber, on a theme from Die Schwestern von Prag by Wenzel Müller
121b, —, —, 766, Opferlied ("Die Flamme lodert"), E major, 1822, 3vv ch orch, Vocal, 3rd version of Op. 121b  WoO 126  Hess 91  Hess 145
121b, —, —, 790, Opferlied ("Die Flamme lodert"), E major, 1824, 3vv ch orch, Vocal, 4th version of Op. 121b  WoO 126  Hess 91  Hess 145
122, —, —, 767, Bundeslied ("In allen guten Stunden"), B flat major, 1822-24, 2vv ch ww br, Vocal, NaN
123, —, —, 776, Missa solemnis, D major, 1819-23, 4vv ch org orch, Vocal, NaN
124, —, 118, 742, Die Weihe des Hauses  overture, C major, 1822, orch, Orchestral, overture to Op.114
125, —, —, 787, Symphony No.9, D minor, 1817-24, sop alt ten bass ch, Vocal, NaN
126, —, —, 788, Bagatelles(6), NaN, 1824, pf, Keyboard, NaN
127, —, —, 803, String Quartet No.12, E flat major, 1822-25, 2vn va vc, Chamber, NaN
128, —, —, 748, Der Kuß("Ich var bei Chloen ganz allein"), A major, 1798-1822, v pf, Vocal, NaN
129, —, —, 162, Rondo a capriccio ('Rage Over a Lost Penny'), G major, 1795, pf, Keyboard, NaN
130, —, —, 830, String Quartet No.13, B flat major, 1825, 2vn va vc, Chamber, 1st version (including Op.133)
130, —, —, 847, String Quartet No.13, B flat major, 1826, 2vn va vc, Chamber, 2nd version
131, —, —, 840, String Quartet No.14, C sharp minor, 1825-26, 2vn va vc, Chamber, NaN
132, —, —, 808, String Quartet No.15 ('Heiliger Dankgesang'), A minor, 1823-25, 2vn va vc, Chamber, NaN
133, —, —, 830, Große Fuge, B flat major, 1825-26, 2vn va vc, Chamber, finale to 1st version of Op.130; arr.for pf4h as Op.134
134, —, 86, 841, Große Fuge, B flat major, 1826, pf4h, Keyboard, arr. from Op.133
135, —, —, 845, String Quartet No.16, F major, 1826, 2vn va vc, Chamber, NaN
