year,source,category,author,title,notes
1803,catalogue,pf 4hds sonatas,Beethoven,Son. Op. 29,"Quintett für 2 Violinen, 2 Violen, Violoncello (C-Dur) op. 29, Bearbeitung für Klavier zu 4 Händen von August Eberhard Müller, Breitkopf und Härtel, 110 [1803]"
1803,catalogue,pf sonatas,Beethoven,2 Son.,"Op. 31 - Nägeli, 5 [1803] Répertoire des Clavecinistes"
1803,catalogue,pf sonatas,Beethoven,Son. Op. 28,"Op. 28 - Bureau des Arts et d'Industrie, 28 [1802]"
1805,catalogue,pf sonatas,Beethoven,2 Son.,"Op. 13 + Op. 31,3 (Répertoire des Clavecinistes, 11)"
1805,catalogue,pf sonatas,Beethoven,2 Son. Faciles Op. 49,"Op. 49 – Bureau des Arts et d'Industrie, 399 [1805]"
1797,catalogue,pf sonatas,Boyeldieu,3 Son. Op. 1,
1801,catalogue,pf sonatas,Boyeldieu,2 gdes Son. Op. 4,
1803,catalogue,pf sonatas,Boyeldieu,Gde Son. Op. 6,
1793,catalogue,pf sonatas,Brünings,3 Son. Op. 1,
1793,catalogue,pf sonatas,Brünings,6 Sonatines Op. 2,
1804,catalogue,pf sonatas,Catel,6 Sonatines,
1792,catalogue,pf 4hds sonatas,Clementi,Son. Op. 23,
1792,catalogue,pf sonatas,Clementi,3 Son. Op. 24,
1792,catalogue,pf sonatas,Clementi,3 Son. Op. 25,
1792,catalogue,pf sonatas,Clementi,3 Son. Op. 26,
1792,catalogue,pf sonatas,Clementi,12 Son. Op. 27,
1794,catalogue,pf sonatas,Clementi,3 Son. Op. 30,
1795,catalogue,pf sonatas,Clementi,3 Son. Op. 33,
1796,catalogue,pf sonatas,Clementi,2 gdes Son. Op. 36.,
1797,catalogue,pf sonatas,Clementi,Son. period.,
1798,catalogue,pf sonatas,Clementi,6 Sonatines Op. 38,
1799,catalogue,pf sonatas,Clementi,3 son. Op. 39,
1803,catalogue,pf sonatas,Clementi,3 Son.,Répertoire des Clavecinistes
1803,catalogue,pf sonatas,Clementi,3 Son. Op. 42,
1804,catalogue,pf sonatas,Clementi,6 Sonatines,
1805,catalogue,pf sonatas,Clementi,3 Son.,Répertoire des Clavecinistes
1792,catalogue,pf sonatas,Cramer,4 Son. Op. 6,
1793,catalogue,pf sonatas,Cramer,3 Son. Op. 7,
1796,catalogue,pf sonatas,Cramer,2 Son. Op. 8,
1797,catalogue,pf sonatas,Cramer,3 Son. Op. 11,
1797,catalogue,pf sonatas,Cramer,3 Son. Op. 12,
1800,catalogue,pf sonatas,Cramer,3 Son. Op. 18,
1800,catalogue,pf sonatas,Cramer,Son. Périodique,
1801,catalogue,pf sonatas,Cramer,3 Son. Op. 23,
1802,catalogue,pf sonatas,Cramer,3 Son. Op. 25,
1802,catalogue,pf sonatas,Cramer,2 Son. Op. 27,
1803,catalogue,pf sonatas,Cramer,3 Son.,Répertoire des Clavecinistes
1803,catalogue,pf sonatas,Cramer,3 Son. Op. 29,
1794,catalogue,pf sonatas,Dalberg,3 Son. Op. 9,
1801,catalogue,pf sonatas,Danzi,Son. Op. 3,
1802,catalogue,pf sonatas,Danzi,Son. Op. 12,
1797,catalogue,pf sonatas,Defossez,3 Son. Op. 1,[unidentified composer]
1793,catalogue,pf sonatas,Destouches,2 Son. Op. 1,
1802,catalogue,pf sonatas,Dourlen,3 Son. Op. 1,
1804,catalogue,pf sonatas,Dourlen,3 Son. Op. 5,
1802,catalogue,pf sonatas,Dumonchau,3 Son. Op. 1,
1803,catalogue,pf sonatas,Dumonchau,6 Son. Op. 29,
1805,catalogue,pf sonatas,Dumonchau,3 Son. Op. 21,
1792,catalogue,pf 4hds sonatas,Dussek,Duo p. 2. Piano Forte,
1797,catalogue,pf 4hds sonatas,Dussek,gd. Duo. Op. 32,
1797,catalogue,pf sonatas,Dussek,3 gdes Son. Op. 35,
1800,catalogue,pf sonatas,Dussek,3 Son. Op. 39,
1801,catalogue,pf sonatas,Dussek,Son. Op. 4,
1801,catalogue,pf sonatas,Dussek,Gde Son. Op. 44,
1802,catalogue,pf sonatas,Dussek,3 son. Op. 45,
1802,catalogue,pf sonatas,Dussek,6 Sonatines Op. 46,
1803,catalogue,pf sonatas,Dussek,3 Son.,Répertoire des Clavecinistes
1805,catalogue,pf sonatas,Eberl,Gde Son. Op. 27,
1802,catalogue,pf sonatas,Ebers,Son. Op. 12,
1803,catalogue,pf sonatas,Ebers,Son. Op. 16,
1798,catalogue,pf sonatas,Eckhard,3 Son. Op. 1,
1805,catalogue,pf sonatas,Fasch,6 Son. nouv. ed.,
1796,catalogue,pf sonatas,Ferrary,"3 Son. Op. 9, la 2de av. Viol.",
1796,catalogue,pf sonatas,Ferrary,3 Son. Op. 11,
1798,catalogue,pf sonatas,Ferrary,3 Son. Op. 19,
1802,catalogue,pf sonatas,Ferrary,3 Son. Op. 27,
1803,catalogue,pf sonatas,Ferrary,3 Son. Op. 30,
1803,catalogue,pf sonatas,Ferrary,3 Son. Op. 31,
1803,catalogue,pf sonatas,Field,3 Son. Op. 1,
1803,catalogue,pf sonatas,Florschütz,Son.,
1793,catalogue,pf sonatas,"Fodor, A.",3 Son. Op. 1,
1800,catalogue,pf sonatas,Förster,3 Son. Op. 17,
1803,catalogue,pf sonatas,Förster,Son. Op. 22,
1804,catalogue,pf sonatas,Förster,3 Sonatines Op. 26,
1803,catalogue,pf sonatas,Gabler,3 Son. Op. 19 [?],
1805,catalogue,pf sonatas,Gabler,Son. Op. 26,
1803,catalogue,pf sonatas,Gallenberg,Son. Op. 12,
1804,catalogue,pf sonatas,Gallenberg,Son. Op. 15,
1796,catalogue,pf sonatas,Gelinek,Son. period.,
1803,catalogue,pf sonatas,Gelinek,Son. Op. 4 [?],
1797,catalogue,pf sonatas,George,3 Son. faciles Op. 1,[unidentified composer]
1792,catalogue,pf sonatas,Gestewitz,1 Son.,
1794,catalogue,pf sonatas,Haacke,3 grandes Son.,
1793,catalogue,pf 4hds sonatas,Harttung,Son. Nro. 1,
1792,catalogue,pf sonatas,Hässler,6 Son. 4ter Theil,
1804,catalogue,pf sonatas,Hässler,3 Son. Op. 13,
1804,catalogue,pf sonatas,Hässler,3 Son. Op. 14,
1804,catalogue,pf sonatas,Hässler,3 Son. Op. 16,
1792,catalogue,pf sonatas,Haydn,Son. Op. 66,
1793,catalogue,pf sonatas,Haydn,Son. Op. 70,
1793,catalogue,pf sonatas,Haydn,Sonatine Op. 71,
1797,catalogue,pf 4hds sonatas,Haydn,Son. Op. 81,
1797,catalogue,pf 4hds sonatas,Haydn,Son. Op. 83,
1798,catalogue,pf sonatas,Haydn,Son. Op. 1,
1799,catalogue,pf sonatas,Haydn,Gde Son. Op. 92,
1805,catalogue,pf sonatas,Haydn,Son. Op. 93,
1793,catalogue,pf sonatas,Hermann,3 Son. Op. 7,
1805,catalogue,pf sonatas,Hermann,Gde Son. Op. 19 liv. 1,
1804,catalogue,pf sonatas,Herold,3 Son. Oeuvre posthume,
1803,catalogue,pf sonatas,Hoffmeister,3 Son. liv. 1,
1803,catalogue,pf sonatas,Hoffmeister,3 Son. liv. 2,
1800,catalogue,pf sonatas,Hummel,3 Son. Op. 4,
1805,catalogue,pf sonatas,Hummel,Son. Op. 13,
1796,catalogue,pf 4hds sonatas,"Jadin, Louis",Son. Op. 11 ,[Op. 2?]
1804,catalogue,pf sonatas,"Jadin, Hyacinthe",3 Son. Oeuvre posthume,
1796,catalogue,pf sonatas,"Jadin, Louis",3 Son. Op. 12,
1797,catalogue,pf sonatas,Kahl,6 kleine Son.,
1804,catalogue,pf sonatas,Kanne,Son. Op. 18,
1796,catalogue,pf sonatas,Kersten,3 Son. Op. 1,
1796,catalogue,pf sonatas,Kersten,2 Son. Op. 2,
1792,catalogue,pf sonatas,Kirmair,3 Son. Op. 4,
1797,catalogue,pf sonatas,Kirmair,Son. faciles Op. 12,
1805,catalogue,pf sonatas,Kirmair,Son. Op. 19,
1792,catalogue,pf sonatas,Kittel,6 Son. nebst einer Fantasie,
1801,catalogue,pf sonatas,Kleinheinz,Son.,
1804,catalogue,pf sonatas,Kleinheinz,3 Son. Op. 12,
1805,catalogue,pf sonatas,Kleinheinz,Son. Op. 17,
1802,catalogue,pf sonatas,Knecht,6 Sonatines,
1792,catalogue,pf 4hds sonatas,Kotzeluch,Son. Op. 29,
1792,catalogue,pf sonatas,Koželuh,3 Son. Op. 30,
1792,catalogue,pf sonatas,Koželuh,3 Son. Op. 35,
1793,catalogue,pf sonatas,Koželuh,3 Son. Op. 38,
1794,catalogue,pf sonatas,Koželuh,2 Son.,
1804,catalogue,pf sonatas,Krufft,Son. Op. 4,
1794,catalogue,pf 4hds sonatas,Ladurner,Son. Op. 2,
1798,catalogue,pf sonatas,Lämmerhirt,Son. Op. 1,
1795,catalogue,pf sonatas,Lanz,6 Son. Faciles,
1796,catalogue,pf 4hds sonatas,Lanz,Sonatine,
1803,catalogue,pf sonatas,Lanz,3 Son. faciles Op. 16,
1796,catalogue,pf sonatas,Latrobe,Son.,
1796,catalogue,pf sonatas,Lauska,Son. Op. 1,
1801,catalogue,pf sonatas,Lauska,Son. Op. 7,
1801,catalogue,pf sonatas,Lauska,Son. Op. 8,
1805,catalogue,pf sonatas,Lauska,3 Son. Op. 19,
1805,catalogue,pf sonatas,Lessel,3 Son. Op. 2,
1800,catalogue,pf sonatas,Lickl,3 Son. Op. 4,
1805,catalogue,pf sonatas,Liste,2 Son.,Répertoire des Clavecinistes
1799,catalogue,pf sonatas,Lodi,Son. Op. 18,
1792,catalogue,pf sonatas,Mederitsch,Son.,
1795,catalogue,pf sonatas,Montgeroult,3 Son. Op. 1,
1793,catalogue,pf sonatas,Mozart,Son.,
1795,catalogue,pf sonatas,Mozart,Son. 31me,
1795,catalogue,pf sonatas,Mozart,Son. 32me,
1796,catalogue,pf (2) sonatas,Mozart,Son. Op. 34,
1796,catalogue,pf sonatas,Mozart,gde. Son. oeuvre posthume,
1798,catalogue,pf sonatas,Mozart,Son. Op. 62,
1799,catalogue,pf sonatas,Mozart,Son. Oeuvre posthume,
1794,catalogue,pf sonatas,Müller,3 Son. Op. 5,
1795,catalogue,pf sonatas,Müller,3 Son. Op. 7,
1798,catalogue,pf sonatas,Müller,3 son. Op. 14,
1799,catalogue,pf sonatas,Müller,3 Sonatines Op. 18,
1802,catalogue,pf sonatas,Pausewang,4 Sonatines,
1802,catalogue,pf sonatas,Pausewang,Gde Son. Op. 35,
1804,catalogue,pf sonatas,Pausewang,4 Sonatines,
1792,catalogue,pf 4hds sonatas,Pleyel,3 Son. [4 livres],
1796,catalogue,pf 4hds sonatas,Pleyel,Sonate arrang. P. Frakmann,
1797,catalogue,pf 4hds sonatas,Pleyel,Son. Op. 30,
1803,catalogue,pf sonatas,Pleyel,3 Son. Liv. 5,
1805,catalogue,pf sonatas,Pleyel,3 leichte Son. 2. Heft,
1792,catalogue,pf sonatas,Pohl,2 Son.,
1803,catalogue,pf sonatas,Pollini,3 Son. Op. 1,
1805,catalogue,pf miscellaneous,Pollini,Var. & Rondeau,Répertoire des Clavecinistes
1804,catalogue,pf sonatas,Reicha,Son. Op. 40,
1804,catalogue,pf sonatas,Reicha,3 Son. Op. 46,
1805,catalogue,pf sonatas,Reicha,Son. Op. 43,
1794,catalogue,pf miscellaneous,Reichardt,"Rondo. Nro. 1, 2",
1804,catalogue,pf sonatas,Riem,3 Son. Op. 2,
1805,catalogue,pf sonatas,Riem,Son. Op. 1,
1805,catalogue,pf sonatas,Riem,Son. Op. 4,
1805,catalogue,pf sonatas,Riem,2 Son. Op. 7,
1795,catalogue,pf sonatas,Rigel jr,3 Son. Op. 2,
1801,catalogue,pf sonatas,Rosenmüller,3 Son. Op. 1,
1792,catalogue,pf sonatas,Rosetti,6 Son. dans le Style ... Op. 7 [2 parties],[not identified]
1803,catalogue,pf sonatas,Rüttinger,3 Son. faciles,
1804,catalogue,pf sonatas,Schadeck,3 Son. Op. 5,
1802,catalogue,pf sonatas,Schiatti,Son. Op. 1,
1805,catalogue,pf sonatas,Schnyder,3 Son. Op. 1,[unidentified composer]
1793,catalogue,pf sonatas,Scholz,6 kleine Son.,
1796,catalogue,pf sonatas,Schubert,3 Son. Op. 3,[unidentified composer]
1794,catalogue,pf sonatas,Schwarz,petite Son.,[unidentified composer]
1803,catalogue,pf sonatas,Spech,Son. Op. 4,
1794,catalogue,pf sonatas,Stadler,6 Son.,
1801,catalogue,pf sonatas,Stadler,Son.,
1805,catalogue,pf sonatas,Stadler,2 Son. & une fugue,Répertoire des Clavecinistes
1793,catalogue,pf 4hds sonatas,Stanzen,Son. Op. 2,
1796,catalogue,pf 4hds sonatas,Stecher,Son.,
1792,catalogue,pf sonatas,Steibelt,2 Son. Op. 6,
1792,catalogue,pf sonatas,Steibelt,3 grandes Son. Op. 7,
1795,catalogue,pf sonatas,Steibelt,2 grandes [Son.] Op. 12,
1796,catalogue,pf (2) sonatas,Steibelt,Duo p. Harpe & Clav. Ou 2 Clav.,
1797,catalogue,pf sonatas,Steibelt,gde Son. Op. 23,
1797,catalogue,pf sonatas,Steibelt,2 Son. Op. 24,
1801,catalogue,pf sonatas,Steibelt,3 Son. Faciles Op. 41,
1802,catalogue,pf sonatas,Steibelt,Son. Ded. À Mad. Bonaparte,
1802,catalogue,pf sonatas,Steibelt,6 Sonatines Op. 44,
1803,catalogue,pf sonatas,Steibelt,2 Son.,Répertoire des Clavecinistes
1803,catalogue,pf sonatas,Steibelt,2 Son. Op. 48,
1799,catalogue,pf sonatas,Sterkel,Gde Son. Op. 35,
1800,catalogue,pf sonatas,Sterkel,3 Son. Op. 39,
1802,catalogue,pf sonatas,Tapray,3 Son. Op. 2,
1794,catalogue,pf sonatas,Türk,6 leichte Son. 3ter Th.,
1794,catalogue,pf sonatas,Vanhal,3 Son. Op. 18 [2 livres],
1802,catalogue,pf sonatas,Vanhal,6 Sonatines,
1795,catalogue,pf sonatas,Viguerie,3 Son. Op. 1,
1802,catalogue,pf sonatas,Viguerie,6 Sonatines Op. 12,
1802,catalogue,pf sonatas,Volkert,Son. Op. 1,[unidentified composer: Johann Franz?]
1804,catalogue,pf sonatas,Weiss,Son. Op. 6,[unidentified composer]
1803,catalogue,pf sonatas,Weisse,Son. Op. 4,[unidentified composer]
1793,catalogue,pf sonatas,Wolf,6 Son. Op. 1,
1793,catalogue,pf sonatas,Wolf,6 Son. Op. 2,
1794,catalogue,pf 4hds sonatas,Wolf,Son.,
1795,catalogue,pf sonatas,Wölfl,2 Son. Op. 1,
1800,catalogue,pf sonatas,Wölfl,3 Son. Op. 5,
1803,catalogue,pf sonatas,Wölfl,3 Son. Op. 24,
1804,catalogue,pf sonatas,Wölfl,3 Son. Op. 27,
1805,catalogue,pf sonatas,Wölfl,Son.,Répertoire des Clavecinistes
1805,catalogue,pf sonatas,Wölfl,3 Son. Op. 28,
1793,catalogue,pf sonatas,Wranitzky,3 Son. Op. 22,
1794,catalogue,pf sonatas,Wranitzky,Son.,
1803,catalogue,pf sonatas,Wycheansky,3 Son. Op. 3,[unidentified composer]
1804,catalogue,pf sonatas,Zulehner,Son. Op. 1,
